store_id,item_id,wm_yr_wk,sell_price
CA_1,HOUSEHOLD_1_472,11101,4.82
CA_1,HOUSEHOLD_1_472,11102,4.82
CA_1,HOUSEHOLD_1_472,11103,4.82
CA_1,HOUSEHOLD_1_472,11104,4.82
CA_1,HOUSEHOLD_1_472,11105,4.82
CA_1,HOUSEHOLD_1_472,11106,4.82
CA_1,HOUSEHOLD_1_472,11107,4.82
CA_1,HOUSEHOLD_1_472,11108,4.82
CA_1,HOUSEHOLD_1_472,11109,4.82
CA_1,HOUSEHOLD_2_349,11101,4.47
CA_1,HOUSEHOLD_2_349,11102,4.47
CA_1,HOUSEHOLD_2_349,11103,4.47
CA_1,HOUSEHOLD_2_349,11104,4.47
CA_1,HOUSEHOLD_2_349,11105,4.47
CA_1,HOUSEHOLD_2_349,11106,4.47
CA_1,HOUSEHOLD_2_349,11107,4.47
CA_1,HOUSEHOLD_2_349,11108,4.47
CA_1,HOUSEHOLD_2_349,11109,4.47
CA_1,HOUSEHOLD_2_422,11102,4.94
CA_1,HOUSEHOLD_2_422,11103,4.94
CA_1,HOUSEHOLD_2_422,11104,4.94
CA_1,HOUSEHOLD_2_422,11105,4.94
CA_1,HOUSEHOLD_2_422,11106,4.94
CA_1,HOUSEHOLD_2_422,11107,4.94
CA_1,HOUSEHOLD_2_422,11108,4.94
CA_1,HOUSEHOLD_2_422,11109,4.94
CA_1,FOODS_2_135,11101,2.46
CA_1,FOODS_2_135,11102,2.46
CA_1,FOODS_2_135,11103,2.46
CA_1,FOODS_2_135,11104,2.46
CA_1,FOODS_2_135,11105,2.46
CA_1,FOODS_2_135,11106,2.46
CA_1,FOODS_2_135,11107,2.46
CA_1,FOODS_2_135,11108,2.46
CA_1,FOODS_2_135,11109,2.46
CA_1,FOODS_3_145,11102,2.82
CA_1,FOODS_3_145,11103,2.82
CA_1,FOODS_3_145,11104,2.82
CA_1,FOODS_3_145,11105,2.82
CA_1,FOODS_3_145,11106,2.82
CA_1,FOODS_3_145,11107,2.82
CA_1,FOODS_3_145,11108,2.82
CA_1,FOODS_3_145,11109,2.82
CA_1,FOODS_3_452,11101,5.26
CA_1,FOODS_3_452,11102,5.26
CA_1,FOODS_3_452,11103,5.26
CA_1,FOODS_3_452,11104,5.26
CA_1,FOODS_3_452,11105,5.26
CA_1,FOODS_3_452,11106,5.26
CA_1,FOODS_3_452,11107,5.26
CA_1,FOODS_3_452,11108,5.26
CA_1,FOODS_3_452,11109,5.26
CA_2,HOUSEHOLD_1_472,11101,4.82
CA_2,HOUSEHOLD_1_472,11102,4.82
CA_2,HOUSEHOLD_1_472,11103,4.82
CA_2,HOUSEHOLD_1_472,11104,4.82
CA_2,HOUSEHOLD_1_472,11105,4.82
CA_2,HOUSEHOLD_1_472,11106,4.82
CA_2,HOUSEHOLD_1_472,11107,4.82
CA_2,HOUSEHOLD_1_472,11108,4.82
CA_2,HOUSEHOLD_1_472,11109,4.82
CA_2,HOUSEHOLD_2_349,11101,4.47
CA_2,HOUSEHOLD_2_349,11102,4.47
CA_2,HOUSEHOLD_2_349,11103,4.47
CA_2,HOUSEHOLD_2_349,11104,4.47
CA_2,HOUSEHOLD_2_349,11105,4.47
CA_2,HOUSEHOLD_2_349,11106,4.47
CA_2,HOUSEHOLD_2_349,11107,4.47
CA_2,HOUSEHOLD_2_349,11108,4.47
CA_2,HOUSEHOLD_2_349,11109,4.47
CA_2,HOUSEHOLD_2_422,11101,4.94
CA_2,HOUSEHOLD_2_422,11102,4.94
CA_2,HOUSEHOLD_2_422,11103,4.94
CA_2,HOUSEHOLD_2_422,11104,4.94
CA_2,HOUSEHOLD_2_422,11105,4.94
CA_2,HOUSEHOLD_2_422,11106,4.94
CA_2,HOUSEHOLD_2_422,11107,4.94
CA_2,HOUSEHOLD_2_422,11108,4.94
CA_2,HOUSEHOLD_2_422,11109,4.94
CA_2,FOODS_2_135,11101,2.46
CA_2,FOODS_2_135,11102,2.46
CA_2,FOODS_2_135,11103,2.46
CA_2,FOODS_2_135,11104,2.46
CA_2,FOODS_2_135,11105,2.46
CA_2,FOODS_2_135,11106,2.46
CA_2,FOODS_2_135,11107,2.46
CA_2,FOODS_2_135,11108,2.46
CA_2,FOODS_2_135,11109,2.46
CA_2,FOODS_3_452,11101,5.26
CA_2,FOODS_3_452,11102,5.26
CA_2,FOODS_3_452,11103,5.26
CA_2,FOODS_3_452,11104,5.26
CA_2,FOODS_3_452,11105,5.26
CA_2,FOODS_3_452,11106,5.26
CA_2,FOODS_3_452,11107,5.26
CA_2,FOODS_3_452,11108,5.26
CA_2,FOODS_3_452,11109,5.26
